Question,Answer,Category
What is your return window?,"Customers may return most items within 30 days of delivery for a full refund, EXCEPT electronics, which have a shorter 14-day return window. Items must be unused, in original packaging, and accompanied by proof of purchase.",Returns
How do I start a return for an online order?,"Returns for online orders can be started from the My Orders page or through customer support. Once approved, a prepaid shipping label is emailed within 24 hours.",Returns
How long do refunds take?,Refunds are issued to the original payment method within 5 to 7 business days after the returned item is received and inspected. Digital wallet refunds take 1 to 3 business days.,Returns
How do I return something I bought in a physical store?,Items bought in a JumpStart retail store must be returned to a physical store with the receipt. In-store refunds are processed immediately to the original payment method.,Returns
What is the return window for electronics?,"Electronics have a 14-day return window. Items must include all accessories, cables, and manuals. Opened electronics may be subject to a 10 percent restocking fee if the packaging seal is broken.",Returns
What is the return window for fashion and clothing?,Fashion and clothing items have a 30-day return window. Tags must still be attached and items must be unworn and unwashed.,Returns
Can I return books?,Books can be returned within 30 days if undamaged and unmarked.,Returns
Can I return final sale or clearance items?,No. Final sale and clearance items are not eligible for return or refund.,Returns
Can I return a gift card or downloadable product?,"No. Gift cards, downloadable products, and personal care items are not returnable.",Returns
What happens if my item arrives damaged or defective?,Contact support within 7 days of delivery. JumpStart covers all return shipping costs for damaged or defective items and offers a free replacement or full refund.,Returns
Can I exchange an item for a different size or colour?,"Yes, exchanges are offered for size or colour variations of the same product, subject to stock availability. If the variant is unavailable, a refund is issued instead.",Returns
What happens if I return an item after the return window?,Late returns may be refused or issued as store credit at JumpStart's discretion.,Returns
What delivery options do you offer?,"JumpStart offers four delivery options: Standard, Express, Same-day (selected metro areas only), and In-store pickup (Click and Collect). There is no next-day delivery option.",Delivery
How long does standard delivery take and how much does it cost?,Standard delivery takes 3 to 5 business days and is free for orders over $50 (otherwise $4.99).,Delivery
How long does express delivery take and how much does it cost?,Express delivery takes 1 to 2 business days for a flat $9.99.,Delivery
Is same-day delivery available?,"Same-day delivery is available in selected metro areas, for orders placed before 12:00 noon, for a $14.99 fee.",Delivery
Is in-store pickup free?,"In-store pickup (Click and Collect) is free, with orders ready within 2 hours during store opening hours.",Delivery
How long does order processing take?,Orders are processed within 24 hours on business days. Orders placed on weekends or public holidays are processed the next business day.,Delivery
How do I track my order?,A tracking number is emailed as soon as the order ships. You can also track orders in real time from the My Orders page. Tracking updates may take up to 12 hours to appear after dispatch.,Delivery
Do you deliver internationally or to remote and rural areas?,"No international shipping is available - JumpStart delivers nationwide only. Remote and rural areas within that are still covered, but may require 2 to 3 additional business days.",Delivery
How are large items like furniture or TVs delivered?,Furniture and large appliances such as TVs over 50 inches are delivered by a two-person team. You'll be contacted within 48 hours of ordering to schedule a delivery window.,Delivery
What happens if I miss my delivery?,"The courier attempts delivery twice. After a second failed attempt, the parcel is held at the nearest pickup point for 7 days before being returned to the warehouse.",Delivery
What should I do if my parcel is delayed or lost?,"Check tracking first. If tracking hasn't updated for more than 3 business days, contact support - a replacement or refund is arranged for confirmed lost parcels.",Delivery
Can I change my delivery address after ordering?,"Yes, free of charge, any time before the order ships. Once shipped, the address cannot be changed.",Delivery
What warranty comes with electronics?,"All electronics include a minimum 12-month manufacturer warranty covering defects in materials and workmanship. Selected brands offer 24-month warranties, listed on the product page.",Warranty
What does the electronics warranty cover?,"It covers manufacturing defects, hardware failures under normal use, battery faults within the first 12 months, and screen defects such as dead pixels per the manufacturer's pixel policy.",Warranty
What does the warranty NOT cover?,"Accidental damage such as drops or spills, water damage outside the product's rated protection, unauthorised repairs or modifications, normal wear and tear, and lost or stolen items are not covered.",Warranty
"How do I make a warranty claim, and what proof do I need?","Contact support with your JumpStart order number, tax invoice, or store receipt, plus a description or photo of the fault. Support issues a service reference and a prepaid shipping label if needed. The item is assessed within 5-10 business days, and approved claims receive a repair, replacement, or refund.",Warranty
What is JumpStart Care+?,"JumpStart Care+ is an extended protection plan added at checkout on eligible electronics. It extends coverage to 36 months and adds accidental damage protection with a $49 excess per claim, up to two claims per year.",Warranty
"If I return the electronics item, do I get my Care+ plan refunded too?","Yes. If you return the electronics item within its return window, any JumpStart Care+ plan purchased for it is refunded in full at the same time, since the plan cannot cover an item you no longer own.",Warranty
Do fashion and accessories items have a warranty?,"Non-electronic items are covered by a 90-day quality guarantee against manufacturing faults such as broken zips, seams, or faulty clasps.",Warranty
How do I cancel or change my order?,"Orders can be cancelled or edited free of charge while their status is Processing. Once an order has shipped it can no longer be cancelled, but it can be returned under the 30-day return policy after it arrives.",Orders
"How do I create an account, and can I check out without one?","Click the account icon at the top right and choose Create Account - you only need a name, email address, and password. Guest checkout is also available for online orders, though creating an account lets you view order history and earn Rewards points.",Account
I forgot my password - what do I do?,Use the Forgot Password link on the sign-in form to receive a reset email. Reset links are valid for 24 hours.,Account
How can I speak to a human agent?,"Ask the chat assistant to talk to a human at any time, and it will transfer you to the live support team. Human agents are available from 09:00 to 21:00 daily.",Support
Is my personal data safe?,"Yes. JumpStart follows industry-standard security practices, encrypts all traffic, and never sells personal data to third parties.",Support
