No.,Question,Expected Answer,Type,Actual response (summary),Outcome (TP/FP/FN/TN),Confidence band,Notes
1,How many days do I have to send something back?,"Customers may return most items within 30 days of delivery for a full refund. Items must be unused, in original packaging, and accompanied by proof of purchase.",Standard,"For electronics, you have a return window of 14 days from the date of delivery. Please ensure that all accessories and manuals are included with your item.",FP,87%,"answer only for electronic eventhough all the chunks are found as the result.not allign with the question. | Label rationale: Answered but wrong: question is general (all items), answer only covers electronics (14-day) - mismatched scope, not what was asked."
2,Do laptops and headphones have a shorter return period?,"Electronics have a 14-day return window. Items must include all accessories, cables, and manuals. Opened electronics may be subject to a 10 percent restocking fee if the packaging seal is broken.",Standard,"Yes, laptops and headphones have a return window of 14 days. Once you receive your items, any restocking fee will apply if the packaging seal is broken.",TP,87%,"not the same as expected answer but a little bit similar | Label rationale: Correct facts (14-day electronics window, accessories/seal condition) even though phrasing differs from expected."
3,Is next-day delivery a thing you offer?,Standard delivery takes 3 to 5 business days and is free for orders over $50 (otherwise $4.99). Express delivery takes 1 to 2 business days for a flat $9.99. Same-day delivery is available in selected metro areas for $14.99. In-store pickup is free.,Standard,Same-day delivery is not available everywhere; it's only in selected metro areas for orders placed before noon at a $14.99 fee.,FP,76%,"not all similar knowledge is reterieved need to adjust top-k,chunk size or something. | Label rationale: Incomplete: only mentions same-day delivery detail, never confirms/denies next-day or covers standard/express options."
4,Will you cover shipping if my order shows up broken?,Contact support within 7 days of delivery. JumpStart covers all return shipping costs for damaged or defective items and offers a free replacement or full refund.,Standard,I'm sorry this hasn't gone smoothly. Would you like me to connect you with a human agent right away?,FN,47%,Knowledge chunk found but escalate eventhough this is general faq. Need to change escalate human behavior not escalate again based on the sentiment result. | Label rationale: Answerable question (covered in KB) wrongly escalated based on sentiment instead of answered.
5,How long is the warranty on your electronics?,"All electronics include a minimum 12-month manufacturer warranty covering defects in materials and workmanship. Selected brands offer 24-month warranties, listed on the product page.",Standard,"The warranty for our electronics includes a minimum of 12 months covering manufacturing defects, hardware failures under normal use, battery faults within the first year, and screen defects such as dead pixels. For accessories not covered by this policy but included in your order, they come with a separate 90-day quality guarantee against any manufacturing faults.",TP,88%,"not the same as expected answer but a little bit similar. The expected answer is in reterieved chunks but not get the top similarity score. I think need to adjust the questions and answer in knowledge csv file for clarity. | Label rationale: Correct, thorough warranty facts matching KB content."
6,Can I swap a shirt for a bigger size instead of returning it?,"Yes, exchanges are offered for size or colour variations of the same product, subject to stock availability. If the variant is unavailable, a refund is issued instead.",Standard,"Could you share your order number? It usually looks like ""JS-2026-001"" and is in your confirmation email.",FN,,intent detection wrong. Llm cannot properly clarify the question of customer. It must general_faq | Label rationale: Answerable general exchange-policy question wrongly routed into order-eligibility clarification (asked for order number).
7,What's the deal with Care+?,"JumpStart Care+ is an extended protection plan added at checkout on eligible electronics. It extends coverage to 36 months and adds accidental damage protection with a $49 excess per claim, up to two claims per year.",Standard,I couldn't find enough information to help with that confidently. Would you like me to connect you with a human agent?,FN,20%,tool_call failed. Need to find error why cannot get the chunk | Label rationale: Answerable (Care+ is in KB) but tool/retrieval failed and it escalated instead of answering.
8,Do you accept Afterpay?,"They offer 4 interest-free instalments with no fee if paid on time, available for orders between $35 and $1000.",Standard,"Yes, we accept Afterpay as a payment method. You can use Klarna or Afterpay instalments on eligible orders between $35 and $1000 with no fee if paid on time.",TP,76%,this time the top similarity scored knowledge is not used. The answer is combined all results. In some cases only one top scored chunk is used. Need to consider why based on reasoning of current llm? | Label rationale: Correct Afterpay/Klarna details.
9,Is there a discount code for students right now?,"Yes, STUDENT12 gives 12% off fashion and books with a valid student ID or university email at checkout.",Standard,"Yes, there is a student discount available at JumpStart Retail. The promo code STUDENT12 gives you 12% off on fashion and books when using your valid student ID or university email during checkout.",TP,80%,similar to expected answer | Label rationale: Correct STUDENT12 promo details.
10,What time does the Westside Mall store close?,"The Westside Mall branch (Level 2, Westside Mall) is open daily 10:00 to 22:00.",Standard,"The JumpStart Westside Mall Branch is open daily from 10:00 to 22:00. You can visit us at Level 2, Westside Mall.",TP,93%,similar to expected answer | Label rationale: Correct store hours.
11,ret item after hw many days can i,"Customers may return most items within 30 days of delivery for a full refund. Items must be unused, in original packaging, and accompanied by proof of purchase.",Noisy,"Could you share your order number? It usually looks like ""JS-2026-001"" and is in your confirmation email.",FN,,intent detection wrong. Llm cannot properly clarify the question of customer. It must general_faq | Label rationale: Answerable general return-window question wrongly routed into order lookup (asked for order number).
