No.,Question,Expected Answer,Type,Actual response (summary),Outcome (TP/FP/FN/TN),Confidence band,Notes,,TP,17
1,How many days do I have to send something back?,"Customers may return most items within 30 days of delivery for a full refund. Items must be unused, in original packaging, and accompanied by proof of purchase.",Standard,,TP,76%,,,FP,5
2,Do laptops and headphones have a shorter return period?,"Electronics have a 14-day return window. Items must include all accessories, cables, and manuals. Opened electronics may be subject to a 10 percent restocking fee if the packaging seal is broken.",Standard,,TP,77%,,,FN,2
3,Is next-day delivery a thing you offer?,Standard delivery takes 3 to 5 business days and is free for orders over $50 (otherwise $4.99). Express delivery takes 1 to 2 business days for a flat $9.99. Same-day delivery is available in selected metro areas for $14.99. In-store pickup is free.,Standard,,TP,76%,"retrieval succeeded, generation under-used what it had",,TN,1
4,Will you cover shipping if my order shows up broken?,Contact support within 7 days of delivery. JumpStart covers all return shipping costs for damaged or defective items and offers a free replacement or full refund.,Standard,,TP,75%,,,Total,25
5,How long is the warranty on your electronics?,"All electronics include a minimum 12-month manufacturer warranty covering defects in materials and workmanship. Selected brands offer 24-month warranties, listed on the product page.",Standard,,TP,80%,,,,
6,Can I swap a shirt for a bigger size instead of returning it?,"Yes, exchanges are offered for size or colour variations of the same product, subject to stock availability. If the variant is unavailable, a refund is issued instead.",Standard,,FN,,,,Accuracy,72%
7,What's the deal with Care+?,"JumpStart Care+ is an extended protection plan added at checkout on eligible electronics. It extends coverage to 36 months and adds accidental damage protection with a $49 excess per claim, up to two claims per year.",Standard,,TP,73%,,,Precision,77%
8,Do you accept Afterpay?,"They offer 4 interest-free instalments with no fee if paid on time, available for orders between $35 and $1000.",Standard,,TP,77%,,,Recall,89%
9,Is there a discount code for students right now?,"Yes, STUDENT12 gives 12% off fashion and books with a valid student ID or university email at checkout.",Standard,,TP,78%,,,F1 Score,83%
10,What time does the Westside Mall store close?,"The Westside Mall branch (Level 2, Westside Mall) is open daily 10:00 to 22:00.",Standard,,TP,93%,,,,
11,ret item after hw many days can i,"Customers may return most items within 30 days of delivery for a full refund. Items must be unused, in original packaging, and accompanied by proof of purchase.",Noisy,,TP,87%,,,,
12,do u guy ship overseas or wat,No. JumpStart delivers nationwide only; international shipping is not currently available.,Noisy,,TP,76%,,,,
13,wats teh warrenty on electroncs pls,"All electronics include a minimum 12-month manufacturer warranty covering defects in materials and workmanship. Selected brands offer 24-month warranties, listed on the product page.",Noisy,,TP,93%,,,,
14,my order stuck on processing 4 days wat do i do,"If an order appears stuck in one status for more than 3 business days without a tracking update, customer support can investigate and arrange a replacement or refund for confirmed lost parcels.",Noisy,,TP,88%,,,,
15,cn i chang delivery adress after i order it,"Yes, free of charge, any time before the order ships. Once shipped, the address cannot be changed.",Noisy,,TP,88%,,,,
16,hw do i tokl to a real person not bot,"Ask the chat assistant to talk to a human at any time, and it will transfer you to the live support team. Human agents are available from 09:00 to 21:00 daily.",Noisy,,FN,,,,,
17,pric drop rite after i buyed it wat happen,"If a price drops within 7 days of purchase, you can request the difference as store credit.",Noisy,,TP,78%,,,,
18,is gift card have expirey date,"Gift card values range from $10 to $500, never expire, carry no fee, apply instantly, and cannot be redeemed for cash.",Noisy,,FP,83%,,,,
19,wut categorys of stuff u guys even sell,"JumpStart stocks six categories: Electronics (headphones, phones, TVs, laptops), Fashion (clothing, footwear), Accessories (watches, wallets, charging hubs), Home & Living (candles, plant pots, blankets), Sports (yoga mats, weights), and Books.",Noisy,,TP,81%,,,,
20,forgot passwrd how i reset,Use the Forgot Password link on the sign-in form to receive a reset email. Reset links are valid for 24 hours.,Noisy,,TP,86%,,,,
21,What's the weather like today?,I couldn't find enough information to help with that confidently. Would you like me to connect you with a human agent?,Out-of-Scope,,TN,70%,,,,
22,Can you recommend a good restaurant nearby?,I couldn't find enough information to help with that confidently. Would you like me to connect you with a human agent?,Out-of-Scope,,FP,70%,,,,
23,What's the capital of France?,I couldn't find enough information to help with that confidently. Would you like me to connect you with a human agent?,Out-of-Scope,,FP,,,,,
24,Can you help me write a resume?,"I can't help with that - I can only assist with JumpStart orders, returns, delivery, products, and support questions.",Out-of-Scope,,FP,,,,,
25,Who won the football match last night?,"I can't help with that - I can only assist with JumpStart orders, returns, delivery, products, and support questions.",Out-of-Scope,,FP,,,,,
